dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,duplicate
Population,Adolescent Population (International) (10-19 yrs),Kolamaafushi,Gaaf Alif Atoll,Gaafu Alif (GA),18,50,18,Administrative Islands,Maldivians,0,52482,0.204093571735732,FALSE
Population,Adolescent Population (International) (10-19 yrs),Maamendhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,215,18,Administrative Islands,Maldivians,0,52482,0.801094435455531,FALSE
Population,Adolescent Population (International) (10-19 yrs),Nilandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,84,18,Administrative Islands,Maldivians,0,52482,0.3271119315325391,FALSE
Population,Adolescent Population (International) (10-19 yrs),Viligili,Gaaf Alif Atoll,Gaafu Alif (GA),18,457,18,Administrative Islands,Maldivians,0,52482,1.67669570224457,FALSE
Population,Adolescent Population (International) (10-19 yrs),Fares,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,99,19,Administrative Islands,Maldivians,0,52482,0.38138473732524814,FALSE
Population,Adolescent Population (International) (10-19 yrs),Fiyoari,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,100,19,Administrative Islands,Maldivians,0,52482,0.38500292437809536,FALSE
Population,Adolescent Population (International) (10-19 yrs),Gadhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,192,19,Administrative Islands,Maldivians,0,52482,0.717876133240044,FALSE
Population,Adolescent Population (International) (10-19 yrs),Hoadedhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,154,19,Administrative Islands,Maldivians,0,52482,0.5803850252318478,FALSE
Population,Adolescent Population (International) (10-19 yrs),Madeveli,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,197,19,Administrative Islands,Maldivians,0,52482,0.7359670685042803,FALSE
Population,Adolescent Population (International) (10-19 yrs),Nadallaa,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,76,19,Administrative Islands,Maldivians,0,52482,0.29816643510976093,FALSE
Population,Adolescent Population (International) (10-19 yrs),Rathafandhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,42,19,Administrative Islands,Maldivians,0,52482,0.17514807531295387,FALSE
Population,Adolescent Population (International) (10-19 yrs),Thinadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,1257,19,Administrative Islands,Maldivians,0,52482,4.571245344522384,FALSE
Population,Adolescent Population (International) (10-19 yrs),Vaadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,33,19,Administrative Islands,Maldivians,0,52482,0.14258439183732846,FALSE
Population,Adolescent Population (International) (10-19 yrs),Foammulah,Gnaviyani Atoll,Gnaviyani (Gn),20,1443,20,Administrative Islands,Maldivians,0,52482,5.2442281363519765,FALSE
Population,Adolescent Population (International) (10-19 yrs),Feydhoo,Seenu Atoll,Addu (S),21,488,21,Administrative Islands,Maldivians,0,52482,1.7888595008828354,FALSE
Population,Adolescent Population (International) (10-19 yrs),Hithadhoo,Seenu Atoll,Addu (S),21,2019,21,Administrative Islands,Maldivians,0,52482,7.328303878792002,TRUE
Population,Adolescent Population (International) (10-19 yrs),Hulhudhoo,Seenu Atoll,Addu (S),21,139,21,Administrative Islands,Maldivians,0,52482,0.5261122194391388,FALSE
Population,Adolescent Population (International) (10-19 yrs),Maradhoo,Seenu Atoll,Addu (S),21,403,21,Administrative Islands,Maldivians,0,52482,1.4813136013908177,FALSE
Population,Adolescent Population (International) (10-19 yrs),Maradhoo-Feydhoo,Seenu Atoll,Addu (S),21,240,21,Administrative Islands,Maldivians,0,52482,0.8915491117767128,FALSE
Population,Adolescent Population (International) (10-19 yrs),Meedhoo,Seenu Atoll,Addu (S),21,276,21,Administrative Islands,Maldivians,0,52482,1.0218038456792147,FALSE
Population,Working Age Population (15-64 yrs),Baarah,Haa Alif Atoll,Haa Alif (HA),1,639,1,Administrative Islands,Maldivians,0,52482,2.3352057458627726,FALSE
Population,Working Age Population (15-64 yrs),Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),1,1818,1,Administrative Islands,Maldivians,0,52482,6.601048281169701,FALSE
Population,Working Age Population (15-64 yrs),Filladhoo,Haa Alif Atoll,Haa Alif (HA),1,342,1,Administrative Islands,Maldivians,0,52482,1.2606041911671342,FALSE
Population,Working Age Population (15-64 yrs),Hoarafushi,Haa Alif Atoll,Haa Alif (HA),1,999,1,Administrative Islands,Maldivians,0,52482,3.637753084887789,FALSE
Population,Working Age Population (15-64 yrs),Ihavandhoo,Haa Alif Atoll,Haa Alif (HA),1,1590,1,Administrative Islands,Maldivians,0,52482,5.776101633120524,FALSE
Population,Working Age Population (15-64 yrs),Kelaa,Haa Alif Atoll,Haa Alif (HA),1,579,1,Administrative Islands,Maldivians,0,52482,2.1181145226919367,FALSE
Population,Working Age Population (15-64 yrs),Maarandhoo,Haa Alif Atoll,Haa Alif (HA),1,344,1,Administrative Islands,Maldivians,0,52482,1.2678405652728286,FALSE
Population,Working Age Population (15-64 yrs),Mulhadhoo,Haa Alif Atoll,Haa Alif (HA),1,158,1,Administrative Islands,Maldivians,0,52482,0.5948577734432369,FALSE
Population,Working Age Population (15-64 yrs),Muraidhoo,Haa Alif Atoll,Haa Alif (HA),1,261,1,Administrative Islands,Maldivians,0,52482,0.9675310398865056,FALSE
Population,Working Age Population (15-64 yrs),Thakandhoo,Haa Alif Atoll,Haa Alif (HA),1,158,1,Administrative Islands,Maldivians,0,52482,0.5948577734432369,FALSE
Population,Working Age Population (15-64 yrs),Thurakunu,Haa Alif Atoll,Haa Alif (HA),1,245,1,Administrative Islands,Maldivians,0,52482,0.9096400470409491,FALSE
Population,Working Age Population (15-64 yrs),Uligamu,Haa Alif Atoll,Haa Alif (HA),1,229,1,Administrative Islands,Maldivians,0,52482,0.8517490541953929,FALSE
Population,Working Age Population (15-64 yrs),Utheemu,Haa Alif Atoll,Haa Alif (HA),1,347,1,Administrative Islands,Maldivians,0,52482,1.2786951264313706,FALSE
Population,Working Age Population (15-64 yrs),Vashafaru,Haa Alif Atoll,Haa Alif (HA),1,248,1,Administrative Islands,Maldivians,0,52482,0.9204946081994909,FALSE
Population,Working Age Population (15-64 yrs),Finey,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,232,2,Administrative Islands,Maldivians,0,52482,0.8626036153539346,FALSE
Population,Working Age Population (15-64 yrs),Hanimaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1188,2,Administrative Islands,Maldivians,0,52482,4.321590437875923,FALSE
Population,Working Age Population (15-64 yrs),Hirimaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,172,2,Administrative Islands,Maldivians,0,52482,0.6455123921830986,FALSE
Population,Working Age Population (15-64 yrs),Kulhudhuffushi,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,5735,2,Administrative Islands,Maldivians,0,52482,20.773486967172445,FALSE
Population,Working Age Population (15-64 yrs),Kumundhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,608,2,Administrative Islands,Maldivians,0,52482,2.2230419472245075,FALSE
Population,Working Age Population (15-64 yrs),Kuribi,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,290,2,Administrative Islands,Maldivians,0,52482,1.0724584644190762,FALSE
Population,Working Age Population (15-64 yrs),Makunudhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,686,2,Administrative Islands,Maldivians,0,52482,2.505260537346594,FALSE
Population,Working Age Population (15-64 yrs),Naivaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,251,2,Administrative Islands,Maldivians,0,52482,0.9313491693580328,FALSE
Population,Working Age Population (15-64 yrs),Nellaidhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,574,2,Administrative Islands,Maldivians,0,52482,2.1000235874277,FALSE
Population,Working Age Population (15-64 yrs),Neykurendhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,337,2,Administrative Islands,Maldivians,0,52482,1.2425132559028977,FALSE
Population,Working Age Population (15-64 yrs),Nolhivaram,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1074,2,Administrative Islands,Maldivians,0,52482,3.9091171138513343,FALSE
Population,Working Age Population (15-64 yrs),Nolhivaramfaru,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,676,2,Administrative Islands,Maldivians,0,52482,2.4690786668181217,FALSE
Population,Working Age Population (15-64 yrs),Vaikaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,395,2,Administrative Islands,Maldivians,0,52482,1.4523681049680393,FALSE
Population,Working Age Population (15-64 yrs),Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),3,272,3,Administrative Islands,Maldivians,0,52482,1.0073310974678253,FALSE
Population,Working Age Population (15-64 yrs),Feevah,Shaviyani Atoll,Shaviyani (Sh),3,372,3,Administrative Islands,Maldivians,0,52482,1.3691498027525522,FALSE
Population,Working Age Population (15-64 yrs),Feydhoo,Shaviyani Atoll,Shaviyani (Sh),3,467,3,Administrative Islands,Maldivians,0,52482,1.7128775727730428,FALSE
Population,Working Age Population (15-64 yrs),Foakaidhoo,Shaviyani Atoll,Shaviyani (Sh),3,875,3,Administrative Islands,Maldivians,0,52482,3.189097890334728,FALSE
Population,Working Age Population (15-64 yrs),Funadhoo,Shaviyani Atoll,Shaviyani (Sh),3,1290,3,Administrative Islands,Maldivians,0,52482,4.6906455172663435,FALSE
Population,Working Age Population (15-64 yrs),Goidhoo,Shaviyani Atoll,Shaviyani (Sh),3,318,3,Administrative Islands,Maldivians,0,52482,1.1737677018987998,FALSE
Population,Working Age Population (15-64 yrs),Kaditheemu,Shaviyani Atoll,Shaviyani (Sh),3,677,3,Administrative Islands,Maldivians,0,52482,2.4726968538709686,FALSE
Population,Working Age Population (15-64 yrs),Komandoo,Shaviyani Atoll,Shaviyani (Sh),3,555,3,Administrative Islands,Maldivians,0,52482,2.031278033423602,FALSE
Population,Working Age Population (15-64 yrs),Lhaimagu,Shaviyani Atoll,Shaviyani (Sh),3,333,3,Administrative Islands,Maldivians,0,52482,1.2280405076915089,FALSE
Population,Working Age Population (15-64 yrs),Maaugoodhoo,Shaviyani Atoll,Shaviyani (Sh),3,546,3,Administrative Islands,Maldivians,0,52482,1.9987143499479767,FALSE
Population,Working Age Population (15-64 yrs),Maroshi,Shaviyani Atoll,Shaviyani (Sh),3,263,3,Administrative Islands,Maldivians,0,52482,0.9747674139922001,FALSE
Population,Working Age Population (15-64 yrs),Milandhoo,Shaviyani Atoll,Shaviyani (Sh),3,1177,3,Administrative Islands,Maldivians,0,52482,4.281790380294603,FALSE
Population,Working Age Population (15-64 yrs),Narudhoo,Shaviyani Atoll,Shaviyani (Sh),3,317,3,Administrative Islands,Maldivians,0,52482,1.1701495148459524,FALSE
Population,Working Age Population (15-64 yrs),Noomaraa,Shaviyani Atoll,Shaviyani (Sh),3,212,3,Administrative Islands,Maldivians,0,52482,0.7902398742969894,FALSE
Population,Working Age Population (15-64 yrs),Fodhdhoo,Noonu Atoll,Noonu (N),6,188,6,Administrative Islands,Maldivians,0,52482,0.7034033850286548,FALSE
Population,Working Age Population (15-64 yrs),Hebadhoo,Noonu Atoll,Noonu (N),6,345,6,Administrative Islands,Maldivians,0,52482,1.271458752325676,FALSE
Population,Working Age Population (15-64 yrs),Holhudhoo,Noonu Atoll,Noonu (N),6,816,6,Administrative Islands,Maldivians,0,52482,2.975624854216739,FALSE
Population,Working Age Population (15-64 yrs),Kedhikolhudhoo,Noonu Atoll,Noonu (N),6,889,6,Administrative Islands,Maldivians,0,52482,3.2397525090745893,FALSE
Population,Working Age Population (15-64 yrs),Kudafari,Noonu Atoll,Noonu (N),6,314,6,Administrative Islands,Maldivians,0,52482,1.1592949536874106,FALSE
Population,Working Age Population (15-64 yrs),Landhoo,Noonu Atoll,Noonu (N),6,407,6,Administrative Islands,Maldivians,0,52482,1.4957863496022066,FALSE
Population,Working Age Population (15-64 yrs),Lhohi,Noonu Atoll,Noonu (N),6,370,6,Administrative Islands,Maldivians,0,52482,1.3619134286468575,FALSE
Population,Working Age Population (15-64 yrs),Maafaru,Noonu Atoll,Noonu (N),6,560,6,Administrative Islands,Maldivians,0,52482,2.0493689686878387,FALSE
Population,Working Age Population (15-64 yrs),Maalhendhoo,Noonu Atoll,Noonu (N),6,395,6,Administrative Islands,Maldivians,0,52482,1.4523681049680393,FALSE
Population,Working Age Population (15-64 yrs),Magoodhoo,Noonu Atoll,Noonu (N),6,167,6,Administrative Islands,Maldivians,0,52482,0.6274214569188623,FALSE
Population,Working Age Population (15-64 yrs),Manadhoo,Noonu Atoll,Noonu (N),6,935,6,Administrative Islands,Maldivians,0,52482,3.406189113505564,FALSE
Population,Working Age Population (15-64 yrs),Miladhoo,Noonu Atoll,Noonu (N),6,519,6,Administrative Islands,Maldivians,0,52482,1.9010232995211005,FALSE
Population,Working Age Population (15-64 yrs),Velidhoo,Noonu Atoll,Noonu (N),6,1009,6,Administrative Islands,Maldivians,0,52482,3.6739349554162617,FALSE
Population,Working Age Population (15-64 yrs),Agolhitheemu,Raa Atoll,Raa (R),7,228,7,Administrative Islands,Maldivians,0,52482,0.8481308671425456,FALSE
Population,Working Age Population (15-64 yrs),Alifushi,Raa Atoll,Raa (R),7,871,7,Administrative Islands,Maldivians,0,52482,3.1746251421233387,FALSE
Population,Working Age Population (15-64 yrs),Dhuvaafaru,Raa Atoll,Raa (R),7,1966,7,Administrative Islands,Maldivians,0,52482,7.136539964991097,FALSE
Population,Working Age Population (15-64 yrs),Fainu,Raa Atoll,Raa (R),7,254,7,Administrative Islands,Maldivians,0,52482,0.9422037305165747,FALSE
Population,Working Age Population (15-64 yrs),Hulhudhuffaaru,Raa Atoll,Raa (R),7,683,7,Administrative Islands,Maldivians,0,52482,2.4944059761880526,FALSE
Population,Working Age Population (15-64 yrs),Iguraidhoo,Raa Atoll,Raa (R),7,730,7,Administrative Islands,Maldivians,0,52482,2.664460767671874,FALSE
Population,Working Age Population (15-64 yrs),Innamaadhoo,Raa Atoll,Raa (R),7,323,7,Administrative Islands,Maldivians,0,52482,1.1918586371630362,FALSE
Population,Working Age Population (15-64 yrs),Kinolhas,Raa Atoll,Raa (R),7,290,7,Administrative Islands,Maldivians,0,52482,1.0724584644190762,FALSE
Population,Working Age Population (15-64 yrs),Maakurathu,Raa Atoll,Raa (R),7,546,7,Administrative Islands,Maldivians,0,52482,1.9987143499479767,FALSE
Population,Working Age Population (15-64 yrs),Maduvvari,Raa Atoll,Raa (R),7,998,7,Administrative Islands,Maldivians,0,52482,3.634134897834942,FALSE
Population,Working Age Population (15-64 yrs),Meedhoo,Raa Atoll,Raa (R),7,1135,7,Administrative Islands,Maldivians,0,52482,4.129826524075018,FALSE
Population,Working Age Population (15-64 yrs),Rasgetheemu,Raa Atoll,Raa (R),7,279,7,Administrative Islands,Maldivians,0,52482,1.0326584068377562,FALSE
Population,Working Age Population (15-64 yrs),Rasmaadhoo,Raa Atoll,Raa (R),7,297,7,Administrative Islands,Maldivians,0,52482,1.097785773789007,FALSE
Population,Working Age Population (15-64 yrs),Ugoofaaru,Raa Atoll,Raa (R),7,977,7,Administrative Islands,Maldivians,0,52482,3.558152969725149,FALSE
Population,Working Age Population (15-64 yrs),Vaadhoo,Raa Atoll,Raa (R),7,257,7,Administrative Islands,Maldivians,0,52482,0.9530582916751164,FALSE
Population,Working Age Population (15-64 yrs),Dharavandhoo,Baa Atoll,Baa (B),4,515,4,Administrative Islands,Maldivians,0,52482,1.8865505513097114,FALSE
Population,Working Age Population (15-64 yrs),Dhonfanu,Baa Atoll,Baa (B),4,237,4,Administrative Islands,Maldivians,0,52482,0.8806945506181709,FALSE
Population,Working Age Population (15-64 yrs),Eydhafushi,Baa Atoll,Baa (B),4,1429,4,Administrative Islands,Maldivians,0,52482,5.193573517612115,FALSE
Population,Working Age Population (15-64 yrs),Fehendhoo,Baa Atoll,Baa (B),4,115,4,Administrative Islands,Maldivians,0,52482,0.4392757301708044,FALSE
Population,Working Age Population (15-64 yrs),Fulhadhoo,Baa Atoll,Baa (B),4,173,4,Administrative Islands,Maldivians,0,52482,0.6491305792359459,FALSE
Population,Working Age Population (15-64 yrs),Goidhoo,Baa Atoll,Baa (B),4,317,4,Administrative Islands,Maldivians,0,52482,1.1701495148459524,FALSE
Population,Working Age Population (15-64 yrs),Hithaadhoo,Baa Atoll,Baa (B),4,396,4,Administrative Islands,Maldivians,0,52482,1.4559862920208866,FALSE
Population,Working Age Population (15-64 yrs),Kamadhoo,Baa Atoll,Baa (B),4,234,4,Administrative Islands,Maldivians,0,52482,0.8698399894596291,FALSE
Population,Working Age Population (15-64 yrs),Kendhoo,Baa Atoll,Baa (B),4,501,4,Administrative Islands,Maldivians,0,52482,1.8358959325698498,FALSE
Population,Working Age Population (15-64 yrs),Kihaadhoo,Baa Atoll,Baa (B),4,279,4,Administrative Islands,Maldivians,0,52482,1.0326584068377562,FALSE
Population,Working Age Population (15-64 yrs),Kudarikilu,Baa Atoll,Baa (B),4,273,4,Administrative Islands,Maldivians,0,52482,1.0109492845206727,FALSE
Population,Working Age Population (15-64 yrs),Maalhoss,Baa Atoll,Baa (B),4,291,4,Administrative Islands,Maldivians,0,52482,1.0760766514719236,FALSE
Population,Working Age Population (15-64 yrs),Thulhaadhoo,Baa Atoll,Baa (B),4,924,4,Administrative Islands,Maldivians,0,52482,3.3663890559242438,FALSE
Population,Working Age Population (15-64 yrs),Hinnavaru,Lhaviyani Atoll,Lhaviyani (Lh),5,1415,5,Administrative Islands,Maldivians,0,52482,5.142918898872252,FALSE
Population,Working Age Population (15-64 yrs),Kurendhoo,Lhaviyani Atoll,Lhaviyani (Lh),5,649,5,Administrative Islands,Maldivians,0,52482,2.3713876163912455,FALSE
Population,Working Age Population (15-64 yrs),Naifaru,Lhaviyani Atoll,Lhaviyani (Lh),5,2598,5,Administrative Islands,Maldivians,0,52482,9.42323418239057,FALSE
Population,Working Age Population (15-64 yrs),Olhuvelifushi,Lhaviyani Atoll,Lhaviyani (Lh),5,414,5,Administrative Islands,Maldivians,0,52482,1.5211136589721375,FALSE
Population,Working Age Population (15-64 yrs),Dhiffushi,Kaafu Atoll,Kaafu Atoll,10,660,10,Administrative Islands,Maldivians,0,52482,2.4111876739725653,FALSE
Population,Working Age Population (15-64 yrs),Gaafaru,Kaafu Atoll,Kaafu Atoll,10,716,10,Administrative Islands,Maldivians,0,52482,2.6138061489320124,FALSE
Population,Working Age Population (15-64 yrs),Gulhi,Kaafu Atoll,Kaafu Atoll,10,540,10,Administrative Islands,Maldivians,0,52482,1.977005227630893,FALSE
Population,Working Age Population (15-64 yrs),Guraidhoo,Kaafu Atoll,Kaafu Atoll,10,1043,10,Administrative Islands,Maldivians,0,52482,3.7969533152130683,FALSE
Population,Working Age Population (15-64 yrs),Himmafushi,Kaafu Atoll,Kaafu Atoll,10,1163,10,Administrative Islands,Maldivians,0,52482,4.231135761554741,FALSE
Population,Working Age Population (15-64 yrs),Huraa,Kaafu Atoll,Kaafu Atoll,10,773,10,Administrative Islands,Maldivians,0,52482,2.8200428109443063,FALSE
Population,Working Age Population (15-64 yrs),Kaashidhoo,Kaafu Atoll,Kaafu Atoll,10,1159,10,Administrative Islands,Maldivians,0,52482,4.216663013343352,FALSE
Population,Working Age Population (15-64 yrs),Maafushi,Kaafu Atoll,Kaafu Atoll,10,2489,10,Administrative Islands,Maldivians,0,52482,9.028851793630217,FALSE
Population,Working Age Population (15-64 yrs),Thulusdhoo,Kaafu Atoll,Kaafu Atoll,10,777,10,Administrative Islands,Maldivians,0,52482,2.834515559155695,FALSE
Population,Working Age Population (15-64 yrs),Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),9,406,9,Administrative Islands,Maldivians,0,52482,1.4921681625493592,FALSE
Population,Working Age Population (15-64 yrs),Feridhoo,Alif Uthuru Buri,Alif Alif (AA),9,299,9,Administrative Islands,Maldivians,0,52482,1.1050221478947018,FALSE
Population,Working Age Population (15-64 yrs),Himendhoo,Alif Uthuru Buri,Alif Alif (AA),9,452,9,Administrative Islands,Maldivians,0,52482,1.6586047669803337,FALSE
Population,Working Age Population (15-64 yrs),Maalhoss,Alif Uthuru Buri,Alif Alif (AA),9,236,9,Administrative Islands,Maldivians,0,52482,0.8770763635653238,FALSE
Population,Working Age Population (15-64 yrs),Mathiveri,Alif Uthuru Buri,Alif Alif (AA),9,466,9,Administrative Islands,Maldivians,0,52482,1.7092593857201954,FALSE
Population,Working Age Population (15-64 yrs),Rasdhoo,Alif Uthuru Buri,Alif Alif (AA),9,711,9,Administrative Islands,Maldivians,0,52482,2.5957152136677757,FALSE
Population,Working Age Population (15-64 yrs),Thoddoo,Alif Uthuru Buri,Alif Alif (AA),9,979,9,Administrative Islands,Maldivians,0,52482,3.5653893438308435,FALSE
Population,Working Age Population (15-64 yrs),Ukulhas,Alif Uthuru Buri,Alif Alif (AA),9,632,9,Administrative Islands,Maldivians,0,52482,2.3098784364928417,FALSE
Population,Working Age Population (15-64 yrs),Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),9,450,9,Administrative Islands,Maldivians,0,52482,1.6513683928746392,FALSE
Population,Working Age Population (15-64 yrs),Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,77,9,Administrative Islands,Maldivians,0,52482,0.30178462216260826,FALSE
Population,Working Age Population (15-64 yrs),Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),9,371,9,Administrative Islands,Maldivians,0,52482,1.3655316156997048,FALSE
Population,Working Age Population (15-64 yrs),Fenfushi,Alif Dhekunu Buri,Alif Dhaal (ADh),9,451,9,Administrative Islands,Maldivians,0,52482,1.6549865799274863,FALSE
Population,Working Age Population (15-64 yrs),Hanghghaameedhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,248,9,Administrative Islands,Maldivians,0,52482,0.9204946081994909,FALSE
Population,Working Age Population (15-64 yrs),Kunburudhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,297,9,Administrative Islands,Maldivians,0,52482,1.097785773789007,FALSE
Population,Working Age Population (15-64 yrs),Maamigili,Alif Dhekunu Buri,Alif Dhaal (ADh),9,1446,9,Administrative Islands,Maldivians,0,52482,5.2550826975105185,FALSE
Population,Working Age Population (15-64 yrs),Mahibadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,1231,9,Administrative Islands,Maldivians,0,52482,4.477172481148354,FALSE
Population,Working Age Population (15-64 yrs),Mandhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,194,9,Administrative Islands,Maldivians,0,52482,0.7251125073457385,FALSE
Population,Working Age Population (15-64 yrs),Omadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,500,9,Administrative Islands,Maldivians,0,52482,1.8322777455170025,FALSE
Population,Working Age Population (15-64 yrs),Felidhoo,Vaavu Atoll,Vaavu (V),11,314,11,Administrative Islands,Maldivians,0,52482,1.1592949536874106,FALSE
Population,Working Age Population (15-64 yrs),Fulidhoo,Vaavu Atoll,Vaavu (V),11,200,11,Administrative Islands,Maldivians,0,52482,0.7468216296628221,FALSE
Population,Working Age Population (15-64 yrs),Keyodhoo,Vaavu Atoll,Vaavu (V),11,310,11,Administrative Islands,Maldivians,0,52482,1.1448222054760218,FALSE
Population,Working Age Population (15-64 yrs),Rakeedhoo,Vaavu Atoll,Vaavu (V),11,48,11,Administrative Islands,Maldivians,0,52482,0.19685719763003748,FALSE
Population,Working Age Population (15-64 yrs),Thinadhoo,Vaavu Atoll,Vaavu (V),11,61,11,Administrative Islands,Maldivians,0,52482,0.24389362931705197,FALSE
Population,Working Age Population (15-64 yrs),Dhiggaru,Meemu Atoll,Meemu (M),15,588,15,Administrative Islands,Maldivians,0,52482,2.150678206167562,FALSE
Population,Working Age Population (15-64 yrs),Kolhufushi,Meemu Atoll,Meemu (M),15,442,15,Administrative Islands,Maldivians,0,52482,1.6224228964518608,FALSE
Population,Working Age Population (15-64 yrs),Maduvvari,Meemu Atoll,Meemu (M),15,168,15,Administrative Islands,Maldivians,0,52482,0.6310396439717094,FALSE
Population,Working Age Population (15-64 yrs),Mulah,Meemu Atoll,Meemu (M),15,815,15,Administrative Islands,Maldivians,0,52482,2.9720066671638916,FALSE
Population,Working Age Population (15-64 yrs),Muli,Meemu Atoll,Meemu (M),15,508,15,Administrative Islands,Maldivians,0,52482,1.8612232419397805,FALSE
Population,Working Age Population (15-64 yrs),Naalaafushi,Meemu Atoll,Meemu (M),15,250,15,Administrative Islands,Maldivians,0,52482,0.9277309823051856,FALSE
Population,Working Age Population (15-64 yrs),Raimandhoo,Meemu Atoll,Meemu (M),15,88,15,Administrative Islands,Maldivians,0,52482,0.34158467974392814,FALSE
Population,Working Age Population (15-64 yrs),Veyvah,Meemu Atoll,Meemu (M),15,153,15,Administrative Islands,Maldivians,0,52482,0.5767668381790005,FALSE
Population,Working Age Population (15-64 yrs),Biledhdhoo,Faafu Atoll,Faafu (F),14,511,14,Administrative Islands,Maldivians,0,52482,1.8720778030983223,FALSE
Population,Working Age Population (15-64 yrs),Dharaboodhoo,Faafu Atoll,Faafu (F),14,234,14,Administrative Islands,Maldivians,0,52482,0.8698399894596291,FALSE
Population,Working Age Population (15-64 yrs),Feeali,Faafu Atoll,Faafu (F),14,517,14,Administrative Islands,Maldivians,0,52482,1.893786925415406,FALSE
Population,Working Age Population (15-64 yrs),Magoodhoo,Faafu Atoll,Faafu (F),14,363,14,Administrative Islands,Maldivians,0,52482,1.3365861192769268,FALSE
Population,Working Age Population (15-64 yrs),Nilandhoo,Faafu Atoll,Faafu (F),14,977,14,Administrative Islands,Maldivians,0,52482,3.558152969725149,FALSE
Population,Working Age Population (15-64 yrs),Badidhoo,Dhaal Atoll,Dhaalu (Dh),13,319,13,Administrative Islands,Maldivians,0,52482,1.177385888951647,FALSE
Population,Working Age Population (15-64 yrs),Hulhudheli,Dhaal Atoll,Dhaalu (Dh),13,430,13,Administrative Islands,Maldivians,0,52482,1.5790046518176937,FALSE
Population,Working Age Population (15-64 yrs),Kudahuvadhoo,Dhaal Atoll,Dhaalu (Dh),13,1677,13,Administrative Islands,Maldivians,0,52482,6.090883906718236,FALSE
Population,Working Age Population (15-64 yrs),Maaeboodhoo,Dhaal Atoll,Dhaalu (Dh),13,418,13,Administrative Islands,Maldivians,0,52482,1.5355864071835266,FALSE
Population,Working Age Population (15-64 yrs),Meedhoo,Dhaal Atoll,Dhaalu (Dh),13,570,13,Administrative Islands,Maldivians,0,52482,2.085550839216311,FALSE
Population,Working Age Population (15-64 yrs),Ribudhoo,Dhaal Atoll,Dhaalu (Dh),13,174,13,Administrative Islands,Maldivians,0,52482,0.6527487662887932,FALSE
Population,Working Age Population (15-64 yrs),Buruni,Thaa Atoll,Thaa (Th),16,215,16,Administrative Islands,Maldivians,0,52482,0.801094435455531,FALSE
Population,Working Age Population (15-64 yrs),Dhiyamigili,Thaa Atoll,Thaa (Th),16,347,16,Administrative Islands,Maldivians,0,52482,1.2786951264313706,FALSE
Population,Working Age Population (15-64 yrs),Gaadhiffushi,Thaa Atoll,Thaa (Th),16,167,16,Administrative Islands,Maldivians,0,52482,0.6274214569188623,FALSE
Population,Working Age Population (15-64 yrs),Guraidhoo,Thaa Atoll,Thaa (Th),16,715,16,Administrative Islands,Maldivians,0,52482,2.610187961879165,FALSE
Population,Working Age Population (15-64 yrs),Hirilandhoo,Thaa Atoll,Thaa (Th),16,671,16,Administrative Islands,Maldivians,0,52482,2.4509877315538855,FALSE
Population,Working Age Population (15-64 yrs),Kadoodhoo,Thaa Atoll,Thaa (Th),16,235,16,Administrative Islands,Maldivians,0,52482,0.8734581765124765,FALSE
