country,year,status,sub_indicator,score,sub_indicator_text,sub_index_group
China,2020,NF,c8,0,Cyberattacks,C. Violation of user rights
China,2020,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2020,NF,total_country_score,10,total_country_score,aggregation
China,2019,NF,a1,5,Infrastructural limitations,A. Obstructions to access
China,2019,NF,a2,1,Internet accesibility,A. Obstructions to access
China,2019,NF,a3,1,Government restrictions,A. Obstructions to access
China,2019,NF,a4,1,Service provider diversity,A. Obstructions to access
China,2019,NF,a5,0,Regulatory failure,A. Obstructions to access
China,2019,NF,a_obstacles_to_access,8,a_obstacles_to_access,aggregation
China,2019,NF,b1,0,Blocked content,B. Limits on content
China,2019,NF,b2,0,Forced content deletion,B. Limits on content
China,2019,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
China,2019,NF,b4,0,Self-censorship,B. Limits on content
China,2019,NF,b5,0,Information control and manipulation,B. Limits on content
China,2019,NF,b6,0,Constraints on publishing,B. Limits on content
China,2019,NF,b7,1,Lack diversity and reliability,B. Limits on content
China,2019,NF,b8,1,Constraints on communities,B. Limits on content
China,2019,NF,b_limits_on_content,2,b_limits_on_content,aggregation
China,2019,NF,c1,0,Legal protections,C. Violation of user rights
China,2019,NF,c2,0,Criminalised online activities,C. Violation of user rights
China,2019,NF,c3,0,Individuals penalised,C. Violation of user rights
China,2019,NF,c4,0,Restricted anonymous communication,C. Violation of user rights
China,2019,NF,c5,0,State infringement of privacy,C. Violation of user rights
China,2019,NF,c6,0,Data monitoring and retention,C. Violation of user rights
China,2019,NF,c7,0,Extralegal intimidation,C. Violation of user rights
China,2019,NF,c8,0,Cyberattacks,C. Violation of user rights
China,2019,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2019,NF,total_country_score,10,total_country_score,aggregation
China,2018,NF,a_obstacles_to_access,8,a_obstacles_to_access,aggregation
China,2018,NF,b_limits_on_content,4,b_limits_on_content,aggregation
China,2018,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2018,NF,total_country_score,12,total_country_score,aggregation
China,2017,NF,a_obstacles_to_access,8,a_obstacles_to_access,aggregation
China,2017,NF,b_limits_on_content,5,b_limits_on_content,aggregation
China,2017,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2017,NF,total_country_score,13,total_country_score,aggregation
China,2016,NF,a_obstacles_to_access,7,a_obstacles_to_access,aggregation
China,2016,NF,b_limits_on_content,5,b_limits_on_content,aggregation
China,2016,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2016,NF,total_country_score,12,total_country_score,aggregation
China,2015,NF,a_obstacles_to_access,7,a_obstacles_to_access,aggregation
China,2015,NF,b_limits_on_content,5,b_limits_on_content,aggregation
China,2015,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2015,NF,total_country_score,12,total_country_score,aggregation
China,2014,NF,a_obstacles_to_access,6,a_obstacles_to_access,aggregation
China,2014,NF,b_limits_on_content,6,b_limits_on_content,aggregation
China,2014,NF,c_violations_of_user_rights,1,c_violations_of_user_rights,aggregation
China,2014,NF,total_country_score,13,total_country_score,aggregation
China,2013,NF,a_obstacles_to_access,6,a_obstacles_to_access,aggregation
China,2013,NF,b_limits_on_content,6,b_limits_on_content,aggregation
China,2013,NF,c_violations_of_user_rights,2,c_violations_of_user_rights,aggregation
China,2013,NF,total_country_score,14,total_country_score,aggregation
China,2012,NF,a_obstacles_to_access,7,a_obstacles_to_access,aggregation
China,2012,NF,b_limits_on_content,6,b_limits_on_content,aggregation
China,2012,NF,c_violations_of_user_rights,2,c_violations_of_user_rights,aggregation
China,2012,NF,total_country_score,15,total_country_score,aggregation
China,2011,NF,a_obstacles_to_access,6,a_obstacles_to_access,aggregation
China,2011,NF,b_limits_on_content,7,b_limits_on_content,aggregation
China,2011,NF,c_violations_of_user_rights,4,c_violations_of_user_rights,aggregation
China,2011,NF,total_country_score,17,total_country_score,aggregation
India,2023,PF,a1,3,Infrastructural limitations,A. Obstructions to access
India,2023,PF,a2,2,Internet accesibility,A. Obstructions to access
India,2023,PF,a3,2,Government restrictions,A. Obstructions to access
India,2023,PF,a4,4,Service provider diversity,A. Obstructions to access
India,2023,PF,a5,2,Regulatory failure,A. Obstructions to access
India,2023,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
India,2023,PF,b1,3,Blocked content,B. Limits on content
India,2023,PF,b2,1,Forced content deletion,B. Limits on content
India,2023,PF,b3,2,"Opaque, unacccountable procedures",B. Limits on content
India,2023,PF,b4,3,Self-censorship,B. Limits on content
India,2023,PF,b5,2,Information control and manipulation,B. Limits on content
India,2023,PF,b6,2,Constraints on publishing,B. Limits on content
India,2023,PF,b7,3,Lack diversity and reliability,B. Limits on content
India,2023,PF,b8,4,Constraints on communities,B. Limits on content
India,2023,PF,b_limits_on_content,20,b_limits_on_content,aggregation
India,2023,PF,c1,4,Legal protections,C. Violation of user rights
India,2023,PF,c2,2,Criminalised online activities,C. Violation of user rights
India,2023,PF,c3,2,Individuals penalised,C. Violation of user rights
India,2023,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
India,2023,PF,c5,1,State infringement of privacy,C. Violation of user rights
India,2023,PF,c6,2,Data monitoring and retention,C. Violation of user rights
India,2023,PF,c7,2,Extralegal intimidation,C. Violation of user rights
India,2023,PF,c8,2,Cyberattacks,C. Violation of user rights
India,2023,PF,c_violations_of_user_rights,17,c_violations_of_user_rights,aggregation
India,2023,PF,total_country_score,50,total_country_score,aggregation
India,2022,PF,a1,3,Infrastructural limitations,A. Obstructions to access
India,2022,PF,a2,2,Internet accesibility,A. Obstructions to access
India,2022,PF,a3,2,Government restrictions,A. Obstructions to access
India,2022,PF,a4,4,Service provider diversity,A. Obstructions to access
India,2022,PF,a5,2,Regulatory failure,A. Obstructions to access
India,2022,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
India,2022,PF,b1,3,Blocked content,B. Limits on content
India,2022,PF,b2,2,Forced content deletion,B. Limits on content
India,2022,PF,b3,2,"Opaque, unacccountable procedures",B. Limits on content
India,2022,PF,b4,3,Self-censorship,B. Limits on content
India,2022,PF,b5,2,Information control and manipulation,B. Limits on content
India,2022,PF,b6,2,Constraints on publishing,B. Limits on content
India,2022,PF,b7,3,Lack diversity and reliability,B. Limits on content
India,2022,PF,b8,4,Constraints on communities,B. Limits on content
India,2022,PF,b_limits_on_content,21,b_limits_on_content,aggregation
India,2022,PF,c1,4,Legal protections,C. Violation of user rights
India,2022,PF,c2,2,Criminalised online activities,C. Violation of user rights
India,2022,PF,c3,2,Individuals penalised,C. Violation of user rights
India,2022,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
India,2022,PF,c5,1,State infringement of privacy,C. Violation of user rights
India,2022,PF,c6,2,Data monitoring and retention,C. Violation of user rights
India,2022,PF,c7,2,Extralegal intimidation,C. Violation of user rights
India,2022,PF,c8,2,Cyberattacks,C. Violation of user rights
India,2022,PF,c_violations_of_user_rights,17,c_violations_of_user_rights,aggregation
India,2022,PF,total_country_score,51,total_country_score,aggregation
India,2021,PF,a1,3,Infrastructural limitations,A. Obstructions to access
India,2021,PF,a2,1,Internet accesibility,A. Obstructions to access
India,2021,PF,a3,1,Government restrictions,A. Obstructions to access
India,2021,PF,a4,4,Service provider diversity,A. Obstructions to access
India,2021,PF,a5,2,Regulatory failure,A. Obstructions to access
India,2021,PF,a_obstacles_to_access,11,a_obstacles_to_access,aggregation
India,2021,PF,b1,3,Blocked content,B. Limits on content
India,2021,PF,b2,2,Forced content deletion,B. Limits on content
India,2021,PF,b3,2,"Opaque, unacccountable procedures",B. Limits on content
India,2021,PF,b4,3,Self-censorship,B. Limits on content
India,2021,PF,b5,2,Information control and manipulation,B. Limits on content
India,2021,PF,b6,2,Constraints on publishing,B. Limits on content
India,2021,PF,b7,3,Lack diversity and reliability,B. Limits on content
India,2021,PF,b8,4,Constraints on communities,B. Limits on content
India,2021,PF,b_limits_on_content,21,b_limits_on_content,aggregation
India,2021,PF,c1,4,Legal protections,C. Violation of user rights
India,2021,PF,c2,2,Criminalised online activities,C. Violation of user rights
India,2021,PF,c3,2,Individuals penalised,C. Violation of user rights
India,2021,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
India,2021,PF,c5,1,State infringement of privacy,C. Violation of user rights
India,2021,PF,c6,2,Data monitoring and retention,C. Violation of user rights
India,2021,PF,c7,2,Extralegal intimidation,C. Violation of user rights
India,2021,PF,c8,2,Cyberattacks,C. Violation of user rights
India,2021,PF,c_violations_of_user_rights,17,c_violations_of_user_rights,aggregation
India,2021,PF,total_country_score,49,total_country_score,aggregation
India,2020,PF,a1,3,Infrastructural limitations,A. Obstructions to access
India,2020,PF,a2,1,Internet accesibility,A. Obstructions to access
India,2020,PF,a3,2,Government restrictions,A. Obstructions to access
India,2020,PF,a4,4,Service provider diversity,A. Obstructions to access
India,2020,PF,a5,2,Regulatory failure,A. Obstructions to access
India,2020,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
India,2020,PF,b1,3,Blocked content,B. Limits on content
India,2020,PF,b2,2,Forced content deletion,B. Limits on content
India,2020,PF,b3,2,"Opaque, unacccountable procedures",B. Limits on content
India,2020,PF,b4,3,Self-censorship,B. Limits on content
India,2020,PF,b5,2,Information control and manipulation,B. Limits on content
India,2020,PF,b6,2,Constraints on publishing,B. Limits on content
India,2020,PF,b7,3,Lack diversity and reliability,B. Limits on content
India,2020,PF,b8,4,Constraints on communities,B. Limits on content
India,2020,PF,b_limits_on_content,21,b_limits_on_content,aggregation
India,2020,PF,c1,4,Legal protections,C. Violation of user rights
India,2020,PF,c2,2,Criminalised online activities,C. Violation of user rights
India,2020,PF,c3,2,Individuals penalised,C. Violation of user rights
India,2020,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
India,2020,PF,c5,1,State infringement of privacy,C. Violation of user rights
India,2020,PF,c6,2,Data monitoring and retention,C. Violation of user rights
India,2020,PF,c7,2,Extralegal intimidation,C. Violation of user rights
India,2020,PF,c8,2,Cyberattacks,C. Violation of user rights
India,2020,PF,c_violations_of_user_rights,18,c_violations_of_user_rights,aggregation
India,2020,PF,total_country_score,51,total_country_score,aggregation
India,2019,PF,a1,3,Infrastructural limitations,A. Obstructions to access
India,2019,PF,a2,1,Internet accesibility,A. Obstructions to access
India,2019,PF,a3,2,Government restrictions,A. Obstructions to access
India,2019,PF,a4,4,Service provider diversity,A. Obstructions to access
India,2019,PF,a5,2,Regulatory failure,A. Obstructions to access
India,2019,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
India,2019,PF,b1,3,Blocked content,B. Limits on content
India,2019,PF,b2,3,Forced content deletion,B. Limits on content
India,2019,PF,b3,2,"Opaque, unacccountable procedures",B. Limits on content
India,2019,PF,b4,3,Self-censorship,B. Limits on content
India,2019,PF,b5,2,Information control and manipulation,B. Limits on content
India,2019,PF,b6,3,Constraints on publishing,B. Limits on content
India,2019,PF,b7,3,Lack diversity and reliability,B. Limits on content
India,2019,PF,b8,5,Constraints on communities,B. Limits on content
India,2019,PF,b_limits_on_content,24,b_limits_on_content,aggregation
India,2019,PF,c1,4,Legal protections,C. Violation of user rights
India,2019,PF,c2,2,Criminalised online activities,C. Violation of user rights
India,2019,PF,c3,2,Individuals penalised,C. Violation of user rights
India,2019,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
India,2019,PF,c5,2,State infringement of privacy,C. Violation of user rights
India,2019,PF,c6,2,Data monitoring and retention,C. Violation of user rights
India,2019,PF,c7,2,Extralegal intimidation,C. Violation of user rights
India,2019,PF,c8,2,Cyberattacks,C. Violation of user rights
India,2019,PF,c_violations_of_user_rights,19,c_violations_of_user_rights,aggregation
India,2019,PF,total_country_score,55,total_country_score,aggregation
India,2018,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
India,2018,PF,b_limits_on_content,25,b_limits_on_content,aggregation
India,2018,PF,c_violations_of_user_rights,20,c_violations_of_user_rights,aggregation
India,2018,PF,total_country_score,57,total_country_score,aggregation
India,2017,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
India,2017,PF,b_limits_on_content,26,b_limits_on_content,aggregation
India,2017,PF,c_violations_of_user_rights,20,c_violations_of_user_rights,aggregation
India,2017,PF,total_country_score,59,total_country_score,aggregation
India,2016,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
India,2016,PF,b_limits_on_content,26,b_limits_on_content,aggregation
India,2016,PF,c_violations_of_user_rights,20,c_violations_of_user_rights,aggregation
India,2016,PF,total_country_score,59,total_country_score,aggregation
India,2015,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
India,2015,PF,b_limits_on_content,25,b_limits_on_content,aggregation
India,2015,PF,c_violations_of_user_rights,22,c_violations_of_user_rights,aggregation
India,2015,PF,total_country_score,60,total_country_score,aggregation
India,2014,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
India,2014,PF,b_limits_on_content,25,b_limits_on_content,aggregation
India,2014,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
India,2014,PF,total_country_score,58,total_country_score,aggregation
India,2013,PF,a_obstacles_to_access,10,a_obstacles_to_access,aggregation
India,2013,PF,b_limits_on_content,23,b_limits_on_content,aggregation
India,2013,PF,c_violations_of_user_rights,20,c_violations_of_user_rights,aggregation
India,2013,PF,total_country_score,53,total_country_score,aggregation
India,2012,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
India,2012,PF,b_limits_on_content,26,b_limits_on_content,aggregation
India,2012,PF,c_violations_of_user_rights,23,c_violations_of_user_rights,aggregation
India,2012,PF,total_country_score,61,total_country_score,aggregation
India,2011,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
India,2011,PF,b_limits_on_content,27,b_limits_on_content,aggregation
India,2011,PF,c_violations_of_user_rights,24,c_violations_of_user_rights,aggregation
India,2011,PF,total_country_score,64,total_country_score,aggregation
Indonesia,2023,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Indonesia,2023,PF,a2,1,Internet accesibility,A. Obstructions to access
Indonesia,2023,PF,a3,4,Government restrictions,A. Obstructions to access
Indonesia,2023,PF,a4,4,Service provider diversity,A. Obstructions to access
Indonesia,2023,PF,a5,2,Regulatory failure,A. Obstructions to access
Indonesia,2023,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2023,PF,b1,2,Blocked content,B. Limits on content
Indonesia,2023,PF,b2,2,Forced content deletion,B. Limits on content
Indonesia,2023,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Indonesia,2023,PF,b4,2,Self-censorship,B. Limits on content
Indonesia,2023,PF,b5,2,Information control and manipulation,B. Limits on content
Indonesia,2023,PF,b6,1,Constraints on publishing,B. Limits on content
Indonesia,2023,PF,b7,3,Lack diversity and reliability,B. Limits on content
Indonesia,2023,PF,b8,4,Constraints on communities,B. Limits on content
Indonesia,2023,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Indonesia,2023,PF,c1,2,Legal protections,C. Violation of user rights
Indonesia,2023,PF,c2,1,Criminalised online activities,C. Violation of user rights
Indonesia,2023,PF,c3,2,Individuals penalised,C. Violation of user rights
Indonesia,2023,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Indonesia,2023,PF,c5,2,State infringement of privacy,C. Violation of user rights
Indonesia,2023,PF,c6,3,Data monitoring and retention,C. Violation of user rights
Indonesia,2023,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Indonesia,2023,PF,c8,1,Cyberattacks,C. Violation of user rights
Indonesia,2023,PF,c_violations_of_user_rights,16,c_violations_of_user_rights,aggregation
Indonesia,2023,PF,total_country_score,47,total_country_score,aggregation
Indonesia,2022,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Indonesia,2022,PF,a2,1,Internet accesibility,A. Obstructions to access
Indonesia,2022,PF,a3,4,Government restrictions,A. Obstructions to access
Indonesia,2022,PF,a4,4,Service provider diversity,A. Obstructions to access
Indonesia,2022,PF,a5,2,Regulatory failure,A. Obstructions to access
Indonesia,2022,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2022,PF,b1,3,Blocked content,B. Limits on content
Indonesia,2022,PF,b2,2,Forced content deletion,B. Limits on content
Indonesia,2022,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Indonesia,2022,PF,b4,2,Self-censorship,B. Limits on content
Indonesia,2022,PF,b5,1,Information control and manipulation,B. Limits on content
Indonesia,2022,PF,b6,1,Constraints on publishing,B. Limits on content
Indonesia,2022,PF,b7,3,Lack diversity and reliability,B. Limits on content
Indonesia,2022,PF,b8,4,Constraints on communities,B. Limits on content
Indonesia,2022,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Indonesia,2022,PF,c1,2,Legal protections,C. Violation of user rights
Indonesia,2022,PF,c2,1,Criminalised online activities,C. Violation of user rights
Indonesia,2022,PF,c3,2,Individuals penalised,C. Violation of user rights
Indonesia,2022,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Indonesia,2022,PF,c5,2,State infringement of privacy,C. Violation of user rights
Indonesia,2022,PF,c6,4,Data monitoring and retention,C. Violation of user rights
Indonesia,2022,PF,c7,3,Extralegal intimidation,C. Violation of user rights
Indonesia,2022,PF,c8,1,Cyberattacks,C. Violation of user rights
Indonesia,2022,PF,c_violations_of_user_rights,18,c_violations_of_user_rights,aggregation
Indonesia,2022,PF,total_country_score,49,total_country_score,aggregation
Indonesia,2021,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Indonesia,2021,PF,a2,1,Internet accesibility,A. Obstructions to access
Indonesia,2021,PF,a3,4,Government restrictions,A. Obstructions to access
Indonesia,2021,PF,a4,4,Service provider diversity,A. Obstructions to access
Indonesia,2021,PF,a5,2,Regulatory failure,A. Obstructions to access
Indonesia,2021,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2021,PF,b1,3,Blocked content,B. Limits on content
Indonesia,2021,PF,b2,2,Forced content deletion,B. Limits on content
Indonesia,2021,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Indonesia,2021,PF,b4,2,Self-censorship,B. Limits on content
Indonesia,2021,PF,b5,1,Information control and manipulation,B. Limits on content
Indonesia,2021,PF,b6,1,Constraints on publishing,B. Limits on content
Indonesia,2021,PF,b7,3,Lack diversity and reliability,B. Limits on content
Indonesia,2021,PF,b8,4,Constraints on communities,B. Limits on content
Indonesia,2021,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Indonesia,2021,PF,c1,2,Legal protections,C. Violation of user rights
Indonesia,2021,PF,c2,1,Criminalised online activities,C. Violation of user rights
Indonesia,2021,PF,c3,2,Individuals penalised,C. Violation of user rights
Indonesia,2021,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Indonesia,2021,PF,c5,2,State infringement of privacy,C. Violation of user rights
Indonesia,2021,PF,c6,4,Data monitoring and retention,C. Violation of user rights
Indonesia,2021,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Indonesia,2021,PF,c8,1,Cyberattacks,C. Violation of user rights
Indonesia,2021,PF,c_violations_of_user_rights,17,c_violations_of_user_rights,aggregation
Indonesia,2021,PF,total_country_score,48,total_country_score,aggregation
Indonesia,2020,PF,a1,4,Infrastructural limitations,A. Obstructions to access
Indonesia,2020,PF,a2,1,Internet accesibility,A. Obstructions to access
Indonesia,2020,PF,a3,3,Government restrictions,A. Obstructions to access
Indonesia,2020,PF,a4,4,Service provider diversity,A. Obstructions to access
Indonesia,2020,PF,a5,2,Regulatory failure,A. Obstructions to access
Indonesia,2020,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2020,PF,b1,3,Blocked content,B. Limits on content
Indonesia,2020,PF,b2,2,Forced content deletion,B. Limits on content
Indonesia,2020,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Indonesia,2020,PF,b4,2,Self-censorship,B. Limits on content
Indonesia,2020,PF,b5,1,Information control and manipulation,B. Limits on content
Indonesia,2020,PF,b6,2,Constraints on publishing,B. Limits on content
Indonesia,2020,PF,b7,3,Lack diversity and reliability,B. Limits on content
Indonesia,2020,PF,b8,4,Constraints on communities,B. Limits on content
Indonesia,2020,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Indonesia,2020,PF,c1,2,Legal protections,C. Violation of user rights
Indonesia,2020,PF,c2,1,Criminalised online activities,C. Violation of user rights
Indonesia,2020,PF,c3,2,Individuals penalised,C. Violation of user rights
Indonesia,2020,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Indonesia,2020,PF,c5,2,State infringement of privacy,C. Violation of user rights
Indonesia,2020,PF,c6,4,Data monitoring and retention,C. Violation of user rights
Indonesia,2020,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Indonesia,2020,PF,c8,1,Cyberattacks,C. Violation of user rights
Indonesia,2020,PF,c_violations_of_user_rights,17,c_violations_of_user_rights,aggregation
Indonesia,2020,PF,total_country_score,49,total_country_score,aggregation
Indonesia,2019,PF,a1,4,Infrastructural limitations,A. Obstructions to access
Indonesia,2019,PF,a2,1,Internet accesibility,A. Obstructions to access
Indonesia,2019,PF,a3,3,Government restrictions,A. Obstructions to access
Indonesia,2019,PF,a4,4,Service provider diversity,A. Obstructions to access
Indonesia,2019,PF,a5,2,Regulatory failure,A. Obstructions to access
Indonesia,2019,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2019,PF,b1,3,Blocked content,B. Limits on content
Indonesia,2019,PF,b2,2,Forced content deletion,B. Limits on content
Indonesia,2019,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Indonesia,2019,PF,b4,2,Self-censorship,B. Limits on content
Indonesia,2019,PF,b5,2,Information control and manipulation,B. Limits on content
Indonesia,2019,PF,b6,2,Constraints on publishing,B. Limits on content
Indonesia,2019,PF,b7,3,Lack diversity and reliability,B. Limits on content
Indonesia,2019,PF,b8,4,Constraints on communities,B. Limits on content
Indonesia,2019,PF,b_limits_on_content,19,b_limits_on_content,aggregation
Indonesia,2019,PF,c1,2,Legal protections,C. Violation of user rights
Indonesia,2019,PF,c2,1,Criminalised online activities,C. Violation of user rights
Indonesia,2019,PF,c3,2,Individuals penalised,C. Violation of user rights
Indonesia,2019,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Indonesia,2019,PF,c5,2,State infringement of privacy,C. Violation of user rights
Indonesia,2019,PF,c6,4,Data monitoring and retention,C. Violation of user rights
Indonesia,2019,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Indonesia,2019,PF,c8,2,Cyberattacks,C. Violation of user rights
Indonesia,2019,PF,c_violations_of_user_rights,18,c_violations_of_user_rights,aggregation
Indonesia,2019,PF,total_country_score,51,total_country_score,aggregation
Indonesia,2018,PF,a_obstacles_to_access,15,a_obstacles_to_access,aggregation
Indonesia,2018,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Indonesia,2018,PF,c_violations_of_user_rights,19,c_violations_of_user_rights,aggregation
Indonesia,2018,PF,total_country_score,54,total_country_score,aggregation
Indonesia,2017,PF,a_obstacles_to_access,15,a_obstacles_to_access,aggregation
Indonesia,2017,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Indonesia,2017,PF,c_violations_of_user_rights,18,c_violations_of_user_rights,aggregation
Indonesia,2017,PF,total_country_score,53,total_country_score,aggregation
Indonesia,2016,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2016,PF,b_limits_on_content,21,b_limits_on_content,aggregation
Indonesia,2016,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
Indonesia,2016,PF,total_country_score,56,total_country_score,aggregation
Indonesia,2015,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2015,PF,b_limits_on_content,23,b_limits_on_content,aggregation
Indonesia,2015,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
Indonesia,2015,PF,total_country_score,58,total_country_score,aggregation
Indonesia,2014,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2014,PF,b_limits_on_content,23,b_limits_on_content,aggregation
Indonesia,2014,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
Indonesia,2014,PF,total_country_score,58,total_country_score,aggregation
Indonesia,2013,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2013,PF,b_limits_on_content,24,b_limits_on_content,aggregation
Indonesia,2013,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
Indonesia,2013,PF,total_country_score,59,total_country_score,aggregation
Indonesia,2012,PF,a_obstacles_to_access,14,a_obstacles_to_access,aggregation
Indonesia,2012,PF,b_limits_on_content,24,b_limits_on_content,aggregation
Indonesia,2012,PF,c_violations_of_user_rights,20,c_violations_of_user_rights,aggregation
Indonesia,2012,PF,total_country_score,58,total_country_score,aggregation
Indonesia,2011,PF,a_obstacles_to_access,11,a_obstacles_to_access,aggregation
Indonesia,2011,PF,b_limits_on_content,22,b_limits_on_content,aggregation
Indonesia,2011,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
Indonesia,2011,PF,total_country_score,54,total_country_score,aggregation
Iran,2023,NF,a1,5,Infrastructural limitations,A. Obstructions to access
Iran,2023,NF,a2,1,Internet accesibility,A. Obstructions to access
Iran,2023,NF,a3,0,Government restrictions,A. Obstructions to access
Iran,2023,NF,a4,0,Service provider diversity,A. Obstructions to access
Iran,2023,NF,a5,0,Regulatory failure,A. Obstructions to access
Iran,2023,NF,a_obstacles_to_access,6,a_obstacles_to_access,aggregation
Iran,2023,NF,b1,0,Blocked content,B. Limits on content
Iran,2023,NF,b2,0,Forced content deletion,B. Limits on content
Iran,2023,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
Iran,2023,NF,b4,1,Self-censorship,B. Limits on content
Iran,2023,NF,b5,0,Information control and manipulation,B. Limits on content
Iran,2023,NF,b6,0,Constraints on publishing,B. Limits on content
Iran,2023,NF,b7,1,Lack diversity and reliability,B. Limits on content
Iran,2023,NF,b8,2,Constraints on communities,B. Limits on content
Iran,2023,NF,b_limits_on_content,4,b_limits_on_content,aggregation
Iran,2023,NF,c1,0,Legal protections,C. Violation of user rights
Iran,2023,NF,c2,0,Criminalised online activities,C. Violation of user rights
Iran,2023,NF,c3,0,Individuals penalised,C. Violation of user rights
Iran,2023,NF,c4,1,Restricted anonymous communication,C. Violation of user rights
Iran,2023,NF,c5,0,State infringement of privacy,C. Violation of user rights
Iran,2023,NF,c6,0,Data monitoring and retention,C. Violation of user rights
Iran,2023,NF,c7,0,Extralegal intimidation,C. Violation of user rights
Iran,2023,NF,c8,0,Cyberattacks,C. Violation of user rights
Iran,2023,NF,c_violations_of_user_rights,1,c_violations_of_user_rights,aggregation
Iran,2023,NF,total_country_score,11,total_country_score,aggregation
Iran,2022,NF,a1,5,Infrastructural limitations,A. Obstructions to access
Iran,2022,NF,a2,1,Internet accesibility,A. Obstructions to access
Iran,2022,NF,a3,1,Government restrictions,A. Obstructions to access
Iran,2022,NF,a4,0,Service provider diversity,A. Obstructions to access
Iran,2022,NF,a5,0,Regulatory failure,A. Obstructions to access
Iran,2022,NF,a_obstacles_to_access,7,a_obstacles_to_access,aggregation
Iran,2022,NF,b1,0,Blocked content,B. Limits on content
Iran,2022,NF,b2,0,Forced content deletion,B. Limits on content
Iran,2022,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
Iran,2022,NF,b4,1,Self-censorship,B. Limits on content
Iran,2022,NF,b5,1,Information control and manipulation,B. Limits on content
Iran,2022,NF,b6,0,Constraints on publishing,B. Limits on content
Iran,2022,NF,b7,1,Lack diversity and reliability,B. Limits on content
Iran,2022,NF,b8,2,Constraints on communities,B. Limits on content
