serial_number,title,date_added,hrd_long
242,Afghanistan: community-based defender arrested after speaking on women's education,25/04/2023,Community-based HRD
243,Afghanistan: community-based defender arrested after speaking on women's education,25/04/2023,Community-based HRD
244,Afghanistan: community-based defender arrested after speaking on women's education,25/04/2023,Community-based HRD
245,Cambodia: environmental monk threatened,15/01/2023,Environmental rights defender
246,South Korea: PwD rights defenders prevented from staging demonstration,30/01/2023,Community-based HRD
247,Vietnam: social media activist arrested on unknown charges,14/01/2023,Blogger/ Social Media Activist
248,Afghanistan: social media activist arrested,15/01/2023,Blogger/ Social Media Activist
249,Sri Lanka: two students arrested,18/02/2023,Student
250,Philippines: artist receives death threats,17/01/2023,Artist
251,China: blogger reporting human rights sentenced,15/01/2023,Blogger/ Social Media Activist
251,China: blogger reporting human rights sentenced,15/01/2023,Pro-democracy defender
252,Philippines: youth group Facebook page deleted,17/01/2023,Youth
253,Myanmar: media worker handed down 10-year sentence,15/01/2023,Media Worker
254,Myanmar: youth surviving a raid sentenced,15/01/2023,Pro-democracy defender
254,Myanmar: youth surviving a raid sentenced,15/01/2023,Youth
255,Thailand: two students briefly detained,17/01/2023,Student
255,Thailand: two students briefly detained,17/01/2023,Pro-democracy defender
256,Vietnam: pro-democracy defender sentenced to 5-year imprisonment,14/01/2023,Pro-democracy defender
257,Myanmar: media worker sentenced after secret trial,15/01/2023,Media Worker
258,China: Hong Kongese media worker sentenced to 15-month jail,15/01/2023,Media Worker
259,"Vietnam: minority religion activist interrogated, detained",15/01/2023,Freedom of religion/belief activist
260,"Bangladesh: media worker abducted, beaten",15/01/2023,Media Worker
260,"Bangladesh: media worker abducted, beaten",15/01/2023,Environmental rights defender
270,"India: students attacked by the police, charged",14/01/2023,Student
274,Myanmar: more media workers sentenced,15/01/2023,Media Worker
275,"Indonesia: police use teargas and water cannons, 17 arrest",29/01/2023,Student
277,India: community assaulted for protesting military camp,14/01/2023,Community-based HRD
286,Indonesia: more defenders arrested in Papua,29/01/2023,Minority rights defender
287,Indonesia: at least 85 arrested,27/01/2023,Community-based HRD
289,Pakistan: media worker threatened for covering corruption case,15/01/2023,Media Worker
290,Indonesia: demonstration disbanded by the police,27/01/2023,Community-based HRD
297,Nepal: media worker receives death threats for reporting irregular recruitment,06/02/2023,Media Worker
299,Indonesia: demonstration on Papua issues disbanded,29/01/2023,Minority rights defender
300,Indonesia: eight arrested for commemorative event,29/01/2023,Minority rights defender
304,Indonesia: four land rights defenders face indictment over land dispute,29/01/2023,Land rights defender
304,Indonesia: four land rights defenders face indictment over land dispute,29/01/2023,Community-based HRD
312,Indonesia: Papuan defenders arrested over treason charges,29/01/2023,Minority rights defender
320,Nepal: NGO staff harassed for monitoring election,06/02/2023,WHRD
320,Nepal: NGO staff harassed for monitoring election,06/02/2023,NGO staff
341,"Indoneia: Papuan students met with violence, arrested",29/01/2023,Minority rights defender
341,"Indoneia: Papuan students met with violence, arrested",29/01/2023,Student
342,Indonesia: students face violence ahead of planned rally,29/01/2023,Student
345,Indonesia: 26 students arrested before rally,29/01/2023,Student
360,Indonesia: 13 students arrested in Papua,29/01/2023,Minority rights defender
360,Indonesia: 13 students arrested in Papua,29/01/2023,Student
368,"Indonesia: arrest, violence during forced evictions",29/01/2023,Land rights defender
368,"Indonesia: arrest, violence during forced evictions",29/01/2023,Student
368,"Indonesia: arrest, violence during forced evictions",29/01/2023,NGO staff
368,"Indonesia: arrest, violence during forced evictions",29/01/2023,Lawyer
371,"India: unarmed WHRDs beaten, arrested",23/01/2023,Community-based HRD
371,"India: unarmed WHRDs beaten, arrested",23/01/2023,WHRD
373,Indonesia: five farmers criminalised,29/01/2023,Land rights defender
373,Indonesia: five farmers criminalised,29/01/2023,Community-based HRD
411,Cambodia: union leaders prevented from receiving funds from abroad,27/01/2023,Labour rights defender
541,Malaysia: Pakistani media worker deported despite being UNHCR card holder,07/02/2023,Media Worker
606,"Bangladesh: citizen journalist arrested, asked to pay bribe",26/01/2023,Blogger/ Social Media Activist
606,"Bangladesh: citizen journalist arrested, asked to pay bribe",26/01/2023,Minority rights defender
689,South Korea: SOGI rights organisation given restricted access to public space,07/02/2023,SOGI rights defender
4911,Vietnam: WHRD summoned after reporting police took her money,05/02/2023,WHRD
4911,Vietnam: WHRD summoned after reporting police took her money,05/02/2023,Pro-democracy defender
4912,"Afghanistan: prominent educator arrested, his house raided",25/04/2023,Community-based HRD
4912,"Afghanistan: prominent educator arrested, his house raided",25/04/2023,WHRD
4913,Vietnam: pro-democracy defender denied meeting with his lawyer (Update),02/05/2023,Pro-democracy defender
4914,"Vietnam: scholar, former NGO staff prevented from leaving the country",03/05/2023,NGO staff
4914,"Vietnam: scholar, former NGO staff prevented from leaving the country",03/05/2023,Community-based HRD
